device,platform,day,Test Size,maxspflops,maxdpflops,gmem_readbw,gmem_writebw,gmem_readbw_strided,gmem_writebw_strided,lmem_readbw,lmem_writebw,tex_readbw,bspeed_download,bspeed_readback,fft_sp,ifft_sp,fft_sp_pcie,ifft_sp_pcie,fft_dp,ifft_dp,fft_dp_pcie,ifft_dp_pcie,sgemm_n,sgemm_t,sgemm_n_pcie,sgemm_t_pcie,dgemm_n,dgemm_t,dgemm_n_pcie,dgemm_t_pcie,md_sp_flops,md_sp_bw,md_sp_flops_pcie,md_sp_bw_pcie,md_dp_flops,md_dp_bw,md_dp_flops_pcie,md_dp_bw_pcie,reduction,reduction_pcie,reduction_dp,reduction_dp_pcie,scan,scan_pcie,scan_dp,scan_dp_pcie,sort,sort_pcie,spmv_csr_scalar_sp,spmv_csr_vector_sp,spmv_ellpackr_sp,spmv_csr_scalar_dp,spmv_csr_vector_dp,spmv_ellpackr_dp,stencil,stencil_dp,s3d,s3d_pcie,s3d_dp,s3d_dp_pcie,triad_bw,ocl_kernel,ocl_queue,bfs,bfs_pcie,bfs_teps,md5hash
c2050noecc,nvocl40,5/1/2010,,1005.63,505.598,130.714,123.934,14.9738,6.68889,371.852,449.05,70.4445,4.82245,3.22306,63.6411,61.1104,22.0701,21.7577,29.7688,24.743,10.7892,10.0494,411.572,405.503,353.658,349.113,168.814,163.347,132.974,129.491,,24.2223,,11.5871,,26.5395,,15.2674,126.185,5.74585,121.808,5.73484,28.4973,1.95495,22.0794,1.91704,0.299533,0.26212,0.975052,4.5558,7.20662,0.877603,3.62892,4.29069,3.71803,5.1548,59.7919,43.2576,27.8538,20.5026,4.45653,0.002971,0.018617,,,,
c2050noecc,nvocl40,5/2/2010,,1005.63,505.598,130.714,123.934,14.9738,6.68889,371.852,449.05,70.4445,4.82245,3.22306,63.6411,61.1104,22.0701,21.7577,29.7688,24.743,10.7892,10.0494,411.572,405.503,353.658,349.113,168.814,163.347,132.974,129.491,,24.2223,,11.5871,,26.5395,,15.2674,126.185,5.74585,121.808,5.73484,28.4973,1.95495,22.0794,1.91704,0.299533,0.26212,0.975052,4.5558,7.20662,0.877603,3.62892,4.29069,3.71803,5.1548,59.7919,43.2576,27.8538,20.5026,4.45653,0.002971,0.018617,,,,
c2050noecc,nvocl41,5/1/2010,,1007.33,509.367,130.931,123.899,14.4119,6.64233,390.383,456.367,86.509,6.02726,3.26317,64.6545,64.0081,22.2106,22.1339,16.7121,17.0222,8.40792,8.48569,413.288,398,355.468,344.106,179.763,171.595,140.057,135.05,,24.2073,,11.5791,,26.3385,,15.1974,126.117,5.74736,121.601,5.73229,26.4141,1.95902,26.6856,1.95956,0.349013,0.299588,1.88935,9.62217,8.12044,1.5078,7.71008,6.82219,117.973,51.2935,59.4675,38.4273,27.9188,18.48,4.49196,0.0072,0.0057485,1.0007,0.860994,3.68E+07,
c2050noecc,nvocl41,5/2/2010,,1007.33,509.367,130.931,123.899,14.4119,6.64233,390.383,456.367,86.509,6.02726,3.26317,64.6545,64.0081,22.2106,22.1339,16.7121,17.0222,8.40792,8.48569,413.288,398,355.468,344.106,179.763,171.595,140.057,135.05,,24.2073,,11.5791,,26.3385,,15.1974,126.117,5.74736,121.601,5.73229,26.4141,1.95902,26.6856,1.95956,0.349013,0.299588,1.88935,9.62217,8.12044,1.5078,7.71008,6.82219,117.973,51.2935,59.4675,38.4273,27.9188,18.48,4.49196,0.0072,0.0057485,1.0007,0.860994,3.68E+07,
gtx480,best,5/1/2010,,1266.49,167.874,152.141,151.342,14.79,6.61,,,,5.551,6.354,432.245,427.406,28.97,28.95,107.07,100.713,13.58,13.47,804.073,803.279,666.259,665.714,163.058,163.089,142.799,142.823,,49.88,,14.81,,63.64,,22.638,151.134,5.328,144.25,5.31936,35.07,2.767(estimated),30.26,2.732(estimated),2.231,1.259,1.12,12.08,9.7,1.19,10.88,7.89,2.71,4.25,55.7,47.19,36.39,29.48,,,,,,,
gtx480,best,5/2/2010,,1266.49,167.874,152.141,151.342,14.79,6.61,,,,5.551,6.354,432.245,427.406,28.97,28.95,107.07,100.713,13.58,13.47,804.073,803.279,666.259,665.714,163.058,163.089,142.799,142.823,,49.88,,14.81,,63.64,,22.638,151.134,5.328,144.25,5.31936,35.07,2.767(estimated),30.26,2.732(estimated),2.231,1.259,1.12,12.08,9.7,1.19,10.88,7.89,2.71,4.25,55.7,47.19,36.39,29.48,,,,,,,
gtx480,cuda32,5/1/2010,,1266.49,167.874,152.141,151.342,14.79,6.61,,,,5.551,6.354,432.245,427.406,28.97,28.95,107.07,100.713,13.58,13.47,804.073,803.279,666.259,665.714,163.058,163.089,142.799,142.823,,49.88,,14.81,,63.64,,22.638,151.134,5.328,144.25,5.31936,35.07,2.767(estimated),30.26,2.732(estimated),2.231,1.259,1.12,12.08,9.7,1.19,10.88,7.89,2.71,4.25,55.7,47.19,36.39,29.48,,,,,,,
gtx480,cuda32,5/2/2010,,1266.49,167.874,152.141,151.342,14.79,6.61,,,,5.551,6.354,432.245,427.406,28.97,28.95,107.07,100.713,13.58,13.47,804.073,803.279,666.259,665.714,163.058,163.089,142.799,142.823,,49.88,,14.81,,63.64,,22.638,151.134,5.328,144.25,5.31936,35.07,2.767(estimated),30.26,2.732(estimated),2.231,1.259,1.12,12.08,9.7,1.19,10.88,7.89,2.71,4.25,55.7,47.19,36.39,29.48,,,,,,,
gtx480,nvocl32,5/1/2010,,1265.22,168.12,164.464,147.7,18.42,8.01,,,,5.531,6.08447,79.46,76.227,,,25.82,22.7,,,539.466,530.095,454.359,447.71,161.72,159.62,131.858,130.51,,29.852,,12.22,,33.67,,16.99,147.505,5.33,140.87,5.318,,,,,,,1.131,5.648,7.809,1.15,4.531,5.259,2.805,4.475,72.81,44.85,29.0246,19.611,,,,,,,
gtx480,nvocl32,5/2/2010,,1265.22,168.12,164.464,147.7,18.42,8.01,,,,5.531,6.08447,79.46,76.227,,,25.82,22.7,,,539.466,530.095,454.359,447.71,161.72,159.62,131.858,130.51,,29.852,,12.22,,33.67,,16.99,147.505,5.33,140.87,5.318,,,,,,,1.131,5.648,7.809,1.15,4.531,5.259,2.805,4.475,72.81,44.85,29.0246,19.611,,,,,,,
gtx570,best,5/1/2010,,1375.35,175.612,143.243,133.052,16.9086,6.30111,536.237,642.148,114.956,6.66438,6.66238,183.944,183.112,31.1133,31.0894,72.3861,68.8244,14.8774,14.7208,937.65,972.05,776.967,800.439,174.293,174.29,154.476,154.474,0,37.0276,0,14.9919,0,45.0292,0,21.7237,133.492,6.33158,128.917,6.32081,38.7305,3.02323,34.5898,3.00436,2.20871,1.32625,2.09975,10.7615,11.944,1.80241,9.56064,8.9906,133.266,61.7848,62.6639,49.1493,32.1598,27.2365,6.57151,0.00247637,0.004768,1.39501,1.18403,50853300,
gtx570,best,5/2/2010,,1375.35,175.612,143.243,133.052,16.9086,6.30111,536.237,642.148,114.956,6.66438,6.66238,183.944,183.112,31.1133,31.0894,72.3861,68.8244,14.8774,14.7208,937.65,972.05,776.967,800.439,174.293,174.29,154.476,154.474,0,37.0276,0,14.9919,0,45.0292,0,21.7237,133.492,6.33158,128.917,6.32081,38.7305,3.02323,34.5898,3.00436,2.20871,1.32625,2.09975,10.7615,11.944,1.80241,9.56064,8.9906,133.266,61.7848,62.6639,49.1493,32.1598,27.2365,6.57151,0.00247637,0.004768,1.39501,1.18403,50853300,
gtx570,cuda50,5/1/2010,,1369.32,175.583,131.254,133.052,10.8133,5.85906,508.31,625.01,114.956,6.66438,6.63026,183.944,183.112,31.1133,31.0894,72.3861,68.8244,14.8774,14.7208,937.65,972.05,776.967,800.439,174.293,174.29,154.476,154.474,,37.0276,,14.9919,,45.0292,,21.7237,133.492,6.31407,128.917,6.31057,38.7305,3.049(estimated),34.5898,3.021(estimated),2.20871,1.32625,2.09975,10.7615,11.944,1.80241,9.56064,8.9906,115.925,51.7772,57.046,49.1493,32.1598,27.2365,6.57151,,,0.799694,0.693294,4.88E+07,
gtx570,cuda50,5/2/2010,,1369.32,175.583,131.254,133.052,10.8133,5.85906,508.31,625.01,114.956,6.66438,6.63026,183.944,183.112,31.1133,31.0894,72.3861,68.8244,14.8774,14.7208,937.65,972.05,776.967,800.439,174.293,174.29,154.476,154.474,,37.0276,,14.9919,,45.0292,,21.7237,133.492,6.31407,128.917,6.31057,38.7305,3.049(estimated),34.5898,3.021(estimated),2.20871,1.32625,2.09975,10.7615,11.944,1.80241,9.56064,8.9906,115.925,51.7772,57.046,49.1493,32.1598,27.2365,6.57151,,,0.799694,0.693294,4.88E+07,
gtx570,nvocl50,5/1/2010,,1375.35,175.612,143.243,130.768,16.9086,6.30111,536.237,642.148,109.202,6.6631,6.66238,76.5668,75.175,25.1524,25.0004,25.6154,24.8867,10.8181,10.6859,565.105,557.148,484.456,478.587,169.59,169.464,141.275,141.195,,26.1024,,12.8166,,29.516,,17.2697,131.427,6.33158,127.206,6.32081,34.9883,3.02323,32.6415,3.00436,0.353474,0.319361,1.99343,10.4504,8.6803,1.69256,6.96269,6.91163,133.266,61.7848,62.6639,47.3215,25.9808,20.8972,6.26826,0.00247637,0.004768,1.39501,1.18403,5.09E+07,
gtx570,nvocl50,5/2/2010,,1375.35,175.612,143.243,130.768,16.9086,6.30111,536.237,642.148,109.202,6.6631,6.66238,76.5668,75.175,25.1524,25.0004,25.6154,24.8867,10.8181,10.6859,565.105,557.148,484.456,478.587,169.59,169.464,141.275,141.195,,26.1024,,12.8166,,29.516,,17.2697,131.427,6.33158,127.206,6.32081,34.9883,3.02323,32.6415,3.00436,0.353474,0.319361,1.99343,10.4504,8.6803,1.69256,6.96269,6.91163,133.266,61.7848,62.6639,47.3215,25.9808,20.8972,6.26826,0.00247637,0.004768,1.39501,1.18403,5.09E+07,
gtx580,best,5/1/2010,,1487.44,197.263,170.341,165.737,17.33,7.17,,,,5.502,6.101,489.776,489.741,29.225,28.226,125.53,117.834,13.83,13.73,942.247,941.661,758.159,757.78,193.019,193.402,165.123,165.403,,54.873,,15.2116,,69.7,,23.35,164.782,5.341,160.624,5.3377,40.61,2.797(estimated),33.98,2.802(estimated),2.596,1.368,1.32,13.448,13.6615,1.3,12.147,10.168,2.27,3.62,64.4,53.28,41.55,32.6,,,,,,,
gtx580,best,5/2/2010,,1487.44,197.263,170.341,165.737,17.33,7.17,,,,5.502,6.101,489.776,489.741,29.225,28.226,125.53,117.834,13.83,13.73,942.247,941.661,758.159,757.78,193.019,193.402,165.123,165.403,,54.873,,15.2116,,69.7,,23.35,164.782,5.341,160.624,5.3377,40.61,2.797(estimated),33.98,2.802(estimated),2.596,1.368,1.32,13.448,13.6615,1.3,12.147,10.168,2.27,3.62,64.4,53.28,41.55,32.6,,,,,,,
gtx580,cuda32,5/1/2010,,1487.44,197.263,170.341,165.737,17.33,7.17,,,,5.502,6.101,489.776,489.741,29.225,28.226,125.53,117.834,13.83,13.73,942.247,941.661,758.159,757.78,193.019,193.402,165.123,165.403,,54.873,,15.2116,,69.7,,23.35,164.782,5.341,160.624,5.3377,40.61,2.797(estimated),33.98,2.802(estimated),2.596,1.368,1.32,13.448,13.6615,1.3,12.147,10.168,2.27,3.62,64.4,53.28,41.55,32.6,,,,,,,
gtx580,cuda32,5/2/2010,,1487.44,197.263,170.341,165.737,17.33,7.17,,,,5.502,6.101,489.776,489.741,29.225,28.226,125.53,117.834,13.83,13.73,942.247,941.661,758.159,757.78,193.019,193.402,165.123,165.403,,54.873,,15.2116,,69.7,,23.35,164.782,5.341,160.624,5.3377,40.61,2.797(estimated),33.98,2.802(estimated),2.596,1.368,1.32,13.448,13.6615,1.3,12.147,10.168,2.27,3.62,64.4,53.28,41.55,32.6,,,,,,,
gtx580,nvocl32,5/1/2010,,1456.5,197.56,170.033,160.65,21.6,8.46,,,,5.527,6.084,90.81,87.09,,,32.01,27.37,,,634.336,632.249,519.866,512.335,190.621,188.126,150.527,148.964,,33.74,,12.84,,38.87,,17.18,161.102,5.344,159.39,5.343,,,,,,,1.31,6.495,11.99,1.292,5.204,6.89,2.363,3.816,80.48,49.32,32.39,21.71,,,,,,,
gtx580,nvocl32,5/2/2010,,1456.5,197.56,170.033,160.65,21.6,8.46,,,,5.527,6.084,90.81,87.09,,,32.01,27.37,,,634.336,632.249,519.866,512.335,190.621,188.126,150.527,148.964,,33.74,,12.84,,38.87,,17.18,161.102,5.344,159.39,5.343,,,,,,,1.31,6.495,11.99,1.292,5.204,6.89,2.363,3.816,80.48,49.32,32.39,21.71,,,,,,,
gtx680,best,5/1/2010,,3042.28,142.108,152.234,156.51,11.6549,4.82307,797.281,863.656,271.255,6.29005,6.71629,165.31,164.712,28.877,28.6025,58.3372,55.3733,13.4659,12.9701,1472.45,1528.1,1093.97,1124.39,133.582,132.013,121.028,119.738,0,45.1765,0,15.5014,0,52.3858,0,22.4688,149.601,6.01909,150.897,6.02451,47.343,2.96394,45.4149,2.94874,2.50636,1.40618,1.39124,21.7438,21.7438,1.30282,18.6513,16.2962,130.989,47.7767,65.8075,49.0865,30.4511,25.8736,6.28248,0.008093,0.00771175,2.0512,1.6081,74700800,
gtx680,best,5/2/2010,,3042.28,142.108,152.234,156.51,11.6549,4.82307,797.281,863.656,271.255,6.29005,6.71629,165.31,164.712,28.877,28.6025,58.3372,55.3733,13.4659,12.9701,1472.45,1528.1,1093.97,1124.39,133.582,132.013,121.028,119.738,0,45.1765,0,15.5014,0,52.3858,0,22.4688,149.601,6.01909,150.897,6.02451,47.343,2.96394,45.4149,2.94874,2.50636,1.40618,1.39124,21.7438,21.7438,1.30282,18.6513,16.2962,130.989,47.7767,65.8075,49.0865,30.4511,25.8736,6.28248,0.008093,0.00771175,2.0512,1.6081,74700800,
gtx680,cuda42,5/1/2010,,2813.93,137.076,147.314,148.514,10.3096,4.28017,762.164,852.639,256.716,6.28783,1.91156,158.999,151.019,28.877,28.6025,56.8215,43.1225,13.4659,12.5231,1161.5,1342.25,856.11,950.443,117.129,115.888,101.14,100.213,,40.9618,,14.8517,,47.8767,,21.157,148.685,6.01909,150.897,6.02451,47.343,1.558(estimated),45.4149,1.556(estimated),2.39172,1.12653,1.20026,20.7829,21.01,1.15387,17.0382,15.8771,103.624,40.1489,52.229,42.6214,30.0911,23.8973,4.75571,,,1.08394,0.859374,6.47E+07,
gtx680,cuda42,5/2/2010,,2813.93,137.076,147.314,148.514,10.3096,4.28017,762.164,852.639,256.716,6.28783,1.91156,158.999,151.019,28.877,28.6025,56.8215,43.1225,13.4659,12.5231,1161.5,1342.25,856.11,950.443,117.129,115.888,101.14,100.213,,40.9618,,14.8517,,47.8767,,21.157,148.685,6.01909,150.897,6.02451,47.343,1.558(estimated),45.4149,1.556(estimated),2.39172,1.12653,1.20026,20.7829,21.01,1.15387,17.0382,15.8771,103.624,40.1489,52.229,42.6214,30.0911,23.8973,4.75571,,,1.08394,0.859374,6.47E+07,
gtx680,cuda50,5/1/2010,,2942.57,142.096,152.234,156.51,9.90808,4.63192,797.281,863.656,271.255,6.13366,6.71566,165.31,164.712,28.1234,28.1061,58.3372,55.3733,13.1263,12.9701,1472.45,1528.1,1093.97,1124.39,133.582,132.013,121.028,119.738,,45.1765,,15.5014,,52.3858,,22.4688,149.601,5.95344,149.695,5.88023,0,0,0,0,2.50636,1.40618,1.39124,21.7438,21.7438,1.30282,18.6513,16.2962,105.062,40.2266,53.2506,45.892,30.4511,25.8736,6.28248,,,0.944462,0.788875,5.73E+07,
gtx680,cuda50,5/2/2010,,2942.57,142.096,152.234,156.51,9.90808,4.63192,797.281,863.656,271.255,6.13366,6.71566,165.31,164.712,28.1234,28.1061,58.3372,55.3733,13.1263,12.9701,1472.45,1528.1,1093.97,1124.39,133.582,132.013,121.028,119.738,,45.1765,,15.5014,,52.3858,,22.4688,149.601,5.95344,149.695,5.88023,0,0,0,0,2.50636,1.40618,1.39124,21.7438,21.7438,1.30282,18.6513,16.2962,105.062,40.2266,53.2506,45.892,30.4511,25.8736,6.28248,,,0.944462,0.788875,5.73E+07,
gtx680,nvocl42,5/1/2010,,2898.48,137.09,144.306,147.55,11.4239,4.24716,672.21,702.356,229.8,6.29005,3.2238,54.6219,52.0247,21.444,21.0319,21.3081,18.7839,9.65335,9.09938,556.844,652.445,458.514,521.389,111.474,106.11,95.1121,91.1827,,28.9017,,12.8579,,23.8506,,14.5475,145.718,6.01533,147.195,6.00971,42.5374,2.02844,40.6605,2.02377,0.41973,0.350634,1.17732,16.0611,18.9656,1.10168,8.58399,15.5984,120.39,44.0886,65.2373,41.4782,24.0762,17.0253,4.59707,0.008093,0.00771175,1.99961,1.51869,7.03E+07,
gtx680,nvocl42,5/2/2010,,2898.48,137.09,144.306,147.55,11.4239,4.24716,672.21,702.356,229.8,6.29005,3.2238,54.6219,52.0247,21.444,21.0319,21.3081,18.7839,9.65335,9.09938,556.844,652.445,458.514,521.389,111.474,106.11,95.1121,91.1827,,28.9017,,12.8579,,23.8506,,14.5475,145.718,6.01533,147.195,6.00971,42.5374,2.02844,40.6605,2.02377,0.41973,0.350634,1.17732,16.0611,18.9656,1.10168,8.58399,15.5984,120.39,44.0886,65.2373,41.4782,24.0762,17.0253,4.59707,0.008093,0.00771175,1.99961,1.51869,7.03E+07,
